name,formula,inchikey,smiles,source
(2-hydroxyethyl)trimethylammonium perfluorooctanoate,C13H14F15NO3,WSRQLVKMVUFBHS-UHFFFAOYSA-M,C[N+](C)(C)CCO.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,xml_inchi
(2-hydroxyethyl)trimethylammonium perfluoropentanoate,C10H14F9NO3,HMRZPQTVKLEVPM-UHFFFAOYSA-M,C[N+](C)(C)CCO.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,xml_inchi
(2-methyloyoxyethyl)dimethylpentyloxyammonium acesulfamate,C16H30N2O7S,RHNQEDWFFPJBSN-UHFFFAOYSA-M,CC1=CC([O-])=NS(=O)(=O)O1.CCCCCOC[N+](C)(C)CCOC(C)=O,xml_inchi
(2-methylpropyl)benzene,C10H14,KXUHSQYYJYAXGZ-UHFFFAOYSA-N,CC(C)Cc1ccccc1,xml_inchi
"(22E)-ergosta-5,7,22-trien-3.beta.-ol",C28H44O,DNVPQKQSNYMLRS-APGDWVJJSA-N,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,xml_inchi
"(22E)-stigmasta-5,22-dien-3.beta.-ol",C29H48O,HCXVJBMSMIARIN-PHZDYDNGSA-N,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,xml_inchi
"(2E,4E)-2,4-hexadien-1-yl acetate",C8H12O2,PXVKYPFROMBALG-VNKDHWASSA-N,C/C=C/C=C/COC(C)=O,xml_inchi
(2R)-(chloromethyl)-oxirane,C3H5ClO,BRLQWZUYTZBJKN-VKHMYHEASA-N,ClC[C@H]1CO1,xml_inchi
(2R)-3-hydroxy-2-methyl-propanoic acid methyl ester,C5H10O3,ATCCIZURPPEVIZ-SCSAIBSYSA-N,COC(=O)[C@H](C)CO,xml_inchi
(2R)-amino(4-hydroxyphenyl)ethanoic acid,C8H9NO3,LJCWONGJFPCTTL-SSDOTTSWSA-N,N[C@@H](C(=O)O)c1ccc(O)cc1,xml_inchi
"(2R,3R)-2,3-butanediol",C4H10O2,OWBTYPJTUOEWEK-QWWZWVQMSA-N,C[C@@H](O)[C@@H](C)O,xml_inchi
"(2R,3R)-2,3-dihydroxybutanedioic acid",C4H6O6,FEWJPZIEWOKRBE-JCYAYHJZSA-N,O=C(O)[C@H](O)[C@@H](O)C(=O)O,xml_inchi
"(2R,3R)-2-ethyl-3-methylpentanamide",C8H17NO,QRCJOCOSPZMDJY-RNFRBKRXSA-N,CC[C@@H](C)[C@@H](CC)C(=N)O,xml_inchi
"(2R,3R)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)chroman-3-yl 3,4,5-trihydroxybenzoate",C22H18O11,WMBWREPUVVBILR-WIYYLYMNSA-N,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,xml_inchi
"(2R,3R,4R,5S)-6-(methylamino)hexane-1,2,3,4,5-pentaol",C7H17NO5,MBBZMMPHUWSWHV-BDVNFPICSA-N,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,xml_inchi
"(2R,3R,4R,5S)-6-methylaminohexane-1,2,3,4,5-pentaol; 2-[2-methyl-3-(trifluoromethyl)anilino]pyridine-3-carboxylic acid",C21H28F3N3O7,MGCCHNLNRBULBU-WZTVWXICSA-N,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F,xml_inchi
"(2R,3S)-2-ethyl-3-methylpentanamide",C8H17NO,QRCJOCOSPZMDJY-NKWVEPMBSA-N,CC[C@H](C)[C@@H](CC)C(=N)O,xml_inchi
"(2R,3S,4S,4aR,10bS)-3,4,8,10-tetrahydroxy-2-(hydroxymethyl)-9-methoxy-3,4,4a,10b-tetrahydropyrano[3,2-c]isochromen-6(2H)-one",C14H16O9,YWJXCIXBAKGUKZ-HJJNZUOJSA-N,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,xml_inchi
"(2R,4R)-2,4-pentanediol",C5H12O2,GTCCGKPBSJZVRZ-RFZPGFLSSA-N,C[C@@H](O)C[C@@H](C)O,xml_inchi
"(2R,5R)-2,5-hexanediol",C6H14O2,OHMBHFSEKCCCBW-PHDIDXHHSA-N,C[C@@H](O)CC[C@@H](C)O,xml_inchi
(2S)-1-acetyl-N-methyl-2-pyrrolidinecarboxamide,C8H14N2O2,DPDXFAYSYVRXMF-ZETCQYMHSA-N,CN=C(O)[C@@H]1CCCN1C(C)=O,xml_inchi
