file,year,dataset,solute,solvent,solute_name,solvent_name,T,gamma_inf,ln_gamma_inf,method
j.fluid.2005.04.021.xml,2005,13,OKKJLVBELUTLKV-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,methanol,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,328.15,1.01,0.009950330853168092,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,14,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,ethanol,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,308.15,1.2,0.1823215567939546,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,14,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,ethanol,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,318.15,1.07,0.06765864847381486,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,14,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,ethanol,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,328.15,0.93,-0.07257069283483537,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,15,BDERNNFJNOPAEC-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,propan-1-ol,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,308.15,1.16,0.14842000511827322,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,15,BDERNNFJNOPAEC-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,propan-1-ol,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,318.15,1.0,0.0,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,15,BDERNNFJNOPAEC-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,propan-1-ol,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,328.15,0.87,-0.13926206733350766,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,16,UHOVQNZJYSORNB-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,benzene,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,308.15,0.2,-1.6094379124341003,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,16,UHOVQNZJYSORNB-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,benzene,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,318.15,0.19,-1.6607312068216509,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,16,UHOVQNZJYSORNB-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,benzene,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,328.15,0.19,-1.6607312068216509,CHROM:UFactor:2
j.fluid.2005.08.018.xml,2005,0,OKKJLVBELUTLKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,methanol,water,273.35,1.23,0.20701416938432612,headspace analysis
j.fluid.2005.08.018.xml,2005,0,OKKJLVBELUTLKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,methanol,water,283.15,1.4,0.3364722366212129,headspace analysis
j.fluid.2005.08.018.xml,2005,0,OKKJLVBELUTLKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,methanol,water,293.15,1.55,0.4382549309311553,headspace analysis
j.fluid.2005.08.018.xml,2005,1,OKKJLVBELUTLKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,methanol,water,303.15,1.71,0.5364933705145685,comparative tensimetry
j.fluid.2005.08.018.xml,2005,1,OKKJLVBELUTLKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,methanol,water,308.15,1.8,0.5877866649021191,comparative tensimetry
j.fluid.2005.08.018.xml,2005,1,OKKJLVBELUTLKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,methanol,water,313.15,1.88,0.6312717768418578,comparative tensimetry
j.fluid.2005.08.018.xml,2005,1,OKKJLVBELUTLKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,methanol,water,318.15,1.95,0.6678293725756554,comparative tensimetry
j.fluid.2005.08.018.xml,2005,1,OKKJLVBELUTLKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,methanol,water,323.15,2.02,0.7030975114131134,comparative tensimetry
j.fluid.2005.08.018.xml,2005,1,OKKJLVBELUTLKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,methanol,water,328.15,2.09,0.7371640659767196,comparative tensimetry
j.fluid.2005.08.018.xml,2005,1,OKKJLVBELUTLKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,methanol,water,333.15,2.16,0.7701082216960737,comparative tensimetry
j.fluid.2005.08.018.xml,2005,2,OKKJLVBELUTLKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,methanol,water,358.15,2.31,0.8372475245337022,circulation still method
j.fluid.2005.08.018.xml,2005,2,OKKJLVBELUTLKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,methanol,water,363.15,2.38,0.8671004876833833,circulation still method
j.fluid.2005.08.018.xml,2005,2,OKKJLVBELUTLKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,methanol,water,368.15,2.41,0.8796267475025636,circulation still method
j.fluid.2005.08.018.xml,2005,2,OKKJLVBELUTLKV-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,methanol,water,372.15,2.4,0.8754687373538999,circulation still method
j.fluid.2005.08.018.xml,2005,3,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ethanol,water,273.35,2.54,0.9321640810304452,headspace analysis
j.fluid.2005.08.018.xml,2005,3,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ethanol,water,283.15,3.13,1.1410330045520618,headspace analysis
j.fluid.2005.08.018.xml,2005,4,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ethanol,water,303.15,4.14,1.4206957878372228,comparative tensimetry
j.fluid.2005.08.018.xml,2005,4,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ethanol,water,308.15,4.43,1.4883995840570443,comparative tensimetry
j.fluid.2005.08.018.xml,2005,4,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ethanol,water,313.15,4.66,1.5390154481375546,comparative tensimetry
j.fluid.2005.08.018.xml,2005,4,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ethanol,water,318.15,4.85,1.5789787049493917,comparative tensimetry
j.fluid.2005.08.018.xml,2005,4,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ethanol,water,323.15,5.03,1.6154199841116479,comparative tensimetry
j.fluid.2005.08.018.xml,2005,4,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ethanol,water,328.15,5.2,1.6486586255873816,comparative tensimetry
j.fluid.2005.08.018.xml,2005,4,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ethanol,water,333.15,5.3,1.667706820558076,comparative tensimetry
j.fluid.2005.08.018.xml,2005,5,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ethanol,water,358.15,5.9,1.7749523509116738,circulating still method
j.fluid.2005.08.018.xml,2005,5,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ethanol,water,363.15,6.0,1.791759469228055,circulating still method
