inchikey,name,C6_au,alpha_au
LQZZUXJYWNFBMV-UHFFFAOYSA-N,1-dodecanol,10340.8032168552,150.71224181855442
HLZKNKRTKFSKGZ-UHFFFAOYSA-N,1-tetradecanol,13814.862690418431,174.25472197420325
GLDOVTGHNKAZLK-UHFFFAOYSA-N,1-octadecanol,22281.467395524334,221.40820745370112
RGSFGYAAUTVSQA-UHFFFAOYSA-N,cyclopentane,1573.403028491827,58.92399290318744
DMEGYFMYUHOHGS-UHFFFAOYSA-N,cycloheptane,3086.243996335388,82.55353280440181
DCAYPVUWAIABOU-UHFFFAOYSA-N,n-hexadecane,16905.0408869431,193.4022795863448
RZJRJXONCZWCBN-UHFFFAOYSA-N,n-octadecane,21264.02456114226,216.8634053304317
KMTRUDSVKNLOMY-UHFFFAOYSA-N,ethylene_carbonate,1040.9677826854138,46.9244309965043
UHCBBWUQDAVSMS-UHFFFAOYSA-N,ethyl_fluoride,404.5151740932848,29.041972445990346
JMMWKPVZQRWMSS-UHFFFAOYSA-N,isopropyl_acetate,2251.5007398045323,70.28108685082034
URLKBWYHVLBVBO-UHFFFAOYSA-N,p-xylene,3346.1662148074306,91.65616200619326
ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,"2,3-dimethylbutane",2579.6547921954716,75.70451874776899
KQNPFQTWMSNSAP-UHFFFAOYSA-N,isobutyric_acid,1556.632664326754,58.297897170245214
GHVNFZFCNZKVNT-UHFFFAOYSA-N,n-decanoic_acid,7549.83447439279,128.7482328510956
POULHZVOKOAJMA-UHFFFAOYSA-N,n-dodecanoic_acid,10556.319380087454,152.30584312054114
IPCSVZSSVZVIGE-UHFFFAOYSA-N,n-hexadecanoic_acid,18071.51548836487,199.37652270733676
QIQXTHQIDYTFRH-UHFFFAOYSA-N,n-octadecanoic_acid,22584.39736537088,222.92965851758044
TUNFSRHWOTWDNC-UHFFFAOYSA-N,n-tetradecanoic_acid,14058.879500155434,175.8110737373797
XXJWXESWEXIICW-UHFFFAOYSA-N,2-(2-ethoxyethoxy)ethanol,3778.597551643151,90.02062388476516
DKMROQRQHGEIOW-UHFFFAOYSA-N,diethyl_succinate,5757.116977083564,112.06400692709643
LVGUZGTVOIAKKC-UHFFFAOYSA-N,"1,1,1,2-tetrafluoroethane",611.4140223695056,33.18682515709041
RWRIWBAIICGTTQ-UHFFFAOYSA-N,difluoromethane,191.14103620885814,18.95182068321324
GTLACDSXYULKMZ-UHFFFAOYSA-N,pentafluoroethane,698.6862777823029,34.830102333118646
WUGQZFFCHPXWKQ-UHFFFAOYSA-N,3-amino-1-propanol,1319.5027771512412,53.747596125351784
HNJBEVLQSNELDL-UHFFFAOYSA-N,2-pyrrolidone,1502.7598676599982,57.83431444806514
SECXISVLQFMRJM-UHFFFAOYSA-N,n-methyl-2-pyrrolidone,2180.521532053254,69.67123086109075
MTHSVFCYNBDYFN-UHFFFAOYSA-N,diethylene_glycol,2071.0795937493795,66.18312888712934
ZIBGPFATKBEMQZ-UHFFFAOYSA-N,triethylene_glycol,4218.1761161053455,94.57288750259357
UWHCKJMYHZGTIT-UHFFFAOYSA-N,tetraethylene_glycol,7124.015346386066,123.0067166090202
