inchikey,name,dipole_D,n2,eps
MHDVGSVTJDSBDK-UHFFFAOYSA-N,dibenzyl_ether,1.4464662188361805,2.844485103580438,5.373703454920099
DOIRQSBPFJWKBE-UHFFFAOYSA-N,di-n-butyl_phthalate,2.0319692417699957,2.555895736688906,5.8586270531033975
FDOPVENYMZRARC-UHFFFAOYSA-N,"1,1,1,2,2-pentafluoropropane",3.0338153020645735,1.908410913532014,20.458333675680368
NAMYKGVDVNBCFQ-UHFFFAOYSA-N,2-bromopropane,4.081392587293886,2.483405178672737,52.75624297021413
NEHMKBQYUWJMIP-UHFFFAOYSA-N,methyl_chloride,2.0509111738522123,2.2812977677678514,22.904128487935928
IBYHHJPAARCAIE-UHFFFAOYSA-N,1-bromo-2-chloroethane,4.19045227944427,2.7789817617430774,69.73724607296563
HBZDPWBWBJMYRY-UHFFFAOYSA-N,caprinitrile,3.867294203106978,2.4175596575156866,22.04269162191146
GRWFGVWFFZKLTI-IUCAKERBSA-N,alpha-pinene,0.24252481526255226,2.617659909008458,2.6896387416860437
HCFAJYNVAYBARA-UHFFFAOYSA-N,4-heptanone,3.304459950237004,2.4202455015791453,22.392523629638326
CCAFPWNGIUBUSD-UHFFFAOYSA-N,diethyl_sulfoxide,4.364925488249888,2.5308984707304267,48.544641641125516
LBKDGROORAKTLC-UHFFFAOYSA-N,"1,5-dichloropentane",2.3199001268445167,2.410282590166702,11.791452052987896
VEFLKXRACNJHOV-UHFFFAOYSA-N,"1,3-dibromopropane",3.4048167404667002,3.0957551267867873,45.183082999966764
AOGQPLXWSUTHQB-UHFFFAOYSA-N,n-hexyl_acetate,2.5743141691541385,2.402556182888014,12.036442004361277
HRYZWHHZPQKTII-UHFFFAOYSA-N,ethyl_chloride,2.23069786797198,2.3447368627371827,20.763865851535925
FSGHEPDRMHVUCQ-UHFFFAOYSA-N,2-ethoxypropene,1.9046803247521813,2.4426750587424286,10.874564527500656
GIAFURWZWWWBQT-UHFFFAOYSA-N,2-aminoethoxyethanol,1.5450508677242802,2.3474946614772803,6.9946053231121965
GETTZEONDQJALK-UHFFFAOYSA-N,benzotrifluoride,4.21790914184258,2.5095615399297113,41.07510546792001
LZDKZFUFMNSQCJ-UHFFFAOYSA-N,"1,2-diethoxyethane",1.932147113369936e-05,2.3799271091447323,2.3799271096267622
CUONGYYJJVDODC-UHFFFAOYSA-N,malononitrile,3.8771750011287365,2.2478627357474084,52.100775323923266
IAHFWCOBPZCAEA-UHFFFAOYSA-N,succinonitrile,0.0001179146888561261,2.293841414740581,2.2938414406314074
LHIJANUOQQMGNT-UHFFFAOYSA-N,n-aminoethyl_ethanolamine,2.4407289794784393,2.3952502758599037,14.760072225480407
NJCBUSHGCBERSK-UHFFFAOYSA-N,perfluoropentane,0.13355739411895193,1.8558745871737337,1.8694792661186217
BCCOBQSFUDVTJQ-UHFFFAOYSA-N,octafluorocyclobutane,4.905465935557488e-06,1.8355778322713143,1.8355778322968603
JBTWLSYIZRCDFO-UHFFFAOYSA-N,carbonic_acid_methyl_ethyl_ester,0.5702664386498433,2.3106506937238933,2.8752769599299186
HUAZGNHGCJGYNP-UHFFFAOYSA-N,n-propyl_n-butyrate,2.055402849459077,2.4028447840510303,9.126383823014256
FKNQCJSGGFJEIZ-UHFFFAOYSA-N,4-methylpyridine,2.8789364317888135,2.7216747353933335,25.97685753759928
ZQBFAOFFOQMSGJ-UHFFFAOYSA-N,hexafluorobenzene,,,
BGJSXRVXTHVRSN-UHFFFAOYSA-N,trioxane,0.7823996288581111,2.3524450712603615,3.8583200126409327
WEEGYLXZBRQIMU-WAAGHKOSSA-N,"1,8-cineole",1.4690944094352119,2.5739030932279605,5.486426927888525
VILCJCGEZXAXTO-UHFFFAOYSA-N,triethylenetetramine,2.944818691816814,2.4772214748479557,15.487494715381626
LXBGSDVWAMZHDD-UHFFFAOYSA-N,2-methyl-1h-imidazole,3.9216908137030124,2.6386352887080298,53.434299035928206
PYGSKMBEVAICCR-UHFFFAOYSA-N,"1,5-hexadiene",0.5436405444078743,2.526114905714274,3.0601814328358006
HFPZCAJZSCWRBC-UHFFFAOYSA-N,p-cymene,0.13220586617626642,2.689009328020439,2.7109491960301724
NBBJYMSMWIIQGU-UHFFFAOYSA-N,propanal,3.2437013679294466,2.3049573193188286,39.75219129814883
WGQKYBSKWIADBV-UHFFFAOYSA-N,benzylamine,1.3834448203694227,2.8063275662916882,7.070665745320853
VKCYHJWLYTUGCC-UHFFFAOYSA-N,2-nonanone,3.5457100234887253,2.424898314991216,20.61198444694133
LHXDLQBQYFFVNW-XCBNKYQSSA-N,(+)-fenchone,3.139174402490709,2.5325300324609654,17.763374693279232
AOHJOMMDDJHIJH-VKHMYHEASA-N,"1,2-propanediamine",0.3547931284202311,2.400491189744609,2.651478281783219
YBRBMKDOPFTVDT-UHFFFAOYSA-N,tert-butylamine,1.3778249022117444,2.388835905337435,6.788582029513245
HXVNBWAKAOHACI-UHFFFAOYSA-N,diisopropyl_ketone,3.0475758442386387,2.409887965072175,19.072157512703008
LEQCJROTXBYLEU-IWSPIJDZSA-N,tripropylene_glycol,4.428503300286654,2.389950296112232,26.48454706966183
KCXMKQUNVWSEMD-UHFFFAOYSA-N,benzyl_chloride,2.1666177631199903,2.7761625964533887,13.465054891199657
ZLCSFXXPPANWQY-UHFFFAOYSA-N,m-ethyltoluene,0.49692958229196676,2.747411730764911,3.123289249414744
