fam_solute,fam_solvent,n,MAE,bias,model
aromatic HC,aromatic HC,4,0.020697583632170113,-0.020678569568560512,cosmosac_dsp
aromatic HC,ether,4,0.3940700405429666,0.3940700405429666,cosmosac_dsp
aromatic HC,ketone/aldehyde,25,0.43204216499175385,-0.43204216499175385,cosmosac_dsp
aromatic HC,nitrile,1,0.019954443913591247,0.019954443913591247,cosmosac_dsp
aromatic HC,water,4,0.3079498143826239,0.3079498143826239,cosmosac_dsp
ester,acid,25,0.836300716286069,-0.836300716286069,cosmosac_dsp
ester,alcohol,18,2.9193542957851126,2.9193542957851126,cosmosac_dsp
ester,aromatic HC,2,0.01343403554547961,0.01343403554547961,cosmosac_dsp
ester,water,50,0.14406000768819766,0.014355601066646661,cosmosac_dsp
ether,acid,25,0.10020487268195545,0.0029948367980294566,cosmosac_dsp
ether,alcohol,90,0.8043291007722776,0.620794419925167,cosmosac_dsp
ether,aromatic HC,29,0.35887098690302716,-0.35239137852280683,cosmosac_dsp
ether,ether,5,0.21797555455657897,-0.21797555455657897,cosmosac_dsp
ether,water,64,1.0785999522266758,0.8731160972625875,cosmosac_dsp
halogenated,acid,102,0.13171887172114932,-0.12414518243707844,cosmosac_dsp
halogenated,alcohol,106,1.3893491411323926,1.0648109772098202,cosmosac_dsp
halogenated,amide,1,0.4602622197487034,-0.4602622197487034,cosmosac_dsp
halogenated,amine,4,0.21468658117657985,-0.21468658117657985,cosmosac_dsp
halogenated,aromatic HC,30,0.07212243422590352,-0.06438509055310092,cosmosac_dsp
halogenated,ether,5,0.0360261825108512,-0.033170862140100364,cosmosac_dsp
ketone/aldehyde,acid,28,1.3229639308673378,-1.3229639308673378,cosmosac_dsp
ketone/aldehyde,alcohol,9,3.6924641506898337,3.6924641506898337,cosmosac_dsp
ketone/aldehyde,aromatic HC,1,0.0435355768816357,-0.0435355768816357,cosmosac_dsp
ketone/aldehyde,water,53,0.4270379660081842,-0.05992362379524291,cosmosac_dsp
nitrile,alkene/alkyne,1,1.176357400411232,-1.176357400411232,cosmosac_dsp
nitrile,aromatic HC,1,0.018795751535246596,0.018795751535246596,cosmosac_dsp
nitrile,water,2,1.2039938171019438,-1.2039938171019438,cosmosac_dsp
water,alkene/alkyne,1,5.748567496768503,5.748567496768503,cosmosac_dsp
water,ketone/aldehyde,3,0.8206948895616261,0.8206948895616261,cosmosac_dsp
